11121,10417,7206,17321,10897,16112,6304,9574,4907,7714
6943,6635,4527,10721,6912,9851,3916,6211,3231,5092
349,336,373,793,278,474,163,333,157,416
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
167,170,183,387,134,221,75,166,72,215
322,296,347,716,258,435,143,302,141,392
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10436,9783,6345,16872,10817,15410,6299,9623,4897,7311
10286,9430,6281,15523,9995,14747,5833,8687,4412,6534
422,449,529,1031,372,660,207,456,198,552
262,259,315,659,237,414,132,261,121,351
173,192,211,430,143,256,98,174,80,226
6039,4745,2840,8277,4048,6798,2245,3527,1887,3219
12364,11236,7574,18702,12432,17930,7185,9985,5407,8418
11991,11500,7299,18180,11611,17781,6691,9869,5167,8323
9025,8537,5668,13417,8915,12708,5064,7394,4070,5800
188,187,206,455,143,270,101,193,91,252
62,75,95,181,62,108,34,80,31,92
428,459,534,1057,376,651,216,462,203,590
9070,8236,5427,13453,8610,12934,4913,7336,3853,5943
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
373,379,435,890,319,533,184,370,166,463
15787,14737,9536,24154,15021,22571,8554,12296,6367,10390
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119,121,132,262,92,179,66,113,53,140
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135,136,165,329,118,199,61,140,62,165
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175,173,205,429,150,246,86,199,82,234
13257,11943,8082,20195,12587,18969,7062,10579,5617,8341
10855,10095,6501,14694,9572,14674,5264,8095,4209,7211
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11287,10740,6978,17920,10913,16346,6484,9510,5015,8093
106,101,99,238,80,149,48,97,53,128
167,177,195,402,141,269,89,190,73,223
