2698,3085,3610,3490,7788,1513,6812,11303,13,10722,7883,332,7168,4062,145,3979,4188,914,3780,3470,486,3281,2684,567,2786,536,303,525,1077,1073,153,151,26,27
2476,2861,3225,3143,7409,1759,6319,10781,13,10632,7792,333,7203,3963,154,3985,4218,893,3831,3543,467,3417,2522,506,2756,531,338,538,1105,1176,169,162,33,32
2247,2674,3090,2937,6487,1532,5689,9802,18,9470,7257,289,6615,3797,129,3643,3993,948,3578,3054,489,2991,2635,568,2704,539,335,456,1135,1215,166,189,35,38
2612,3232,3693,3628,8463,1752,7362,11858,10,11420,9235,369,8347,4464,159,4550,4552,1021,4399,3749,496,3687,3051,650,3020,573,384,596,1432,1567,192,197,47,43
2666,2951,3663,3518,8135,1582,7110,11166,15,11149,7990,340,7714,4261,142,4251,4555,938,4272,3572,484,3383,2442,540,2548,505,309,545,973,1045,144,148,30,27
2955,3333,4063,3906,8912,1955,7795,13675,16,13583,9130,418,8644,4596,163,4650,4893,1046,4390,4029,588,3902,3265,717,3518,719,335,710,1532,1541,211,213,41,40
2279,2650,3104,3023,6680,1395,5981,10225,17,10008,6735,288,6171,3592,132,3642,3820,867,3600,3126,423,3111,2726,578,2614,493,377,513,829,858,121,131,19,17
1615,1831,2096,2082,4220,952,3660,7183,15,6853,4948,233,4556,2421,91,2448,2486,598,2303,1975,323,1965,1620,350,1684,374,187,377,768,827,121,117,30,19
37,45,32,45,83,36,76,176,2,144,123,6,102,55,0,57,64,10,50,55,11,58,53,2,46,12,17,9,2,2,0,0,1,0
1815,2112,2614,2407,5535,1117,4558,8812,15,7731,5949,247,5430,2953,99,2982,3189,705,2891,2570,385,2354,1903,419,1970,383,239,389,879,904,126,138,30,17
2848,3231,3698,3635,7934,1580,6468,11875,16,10371,9363,350,8797,4689,146,4646,4931,1063,4686,3867,522,3743,3067,605,3236,633,400,587,1240,1338,176,203,34,36
52,60,51,50,109,35,94,219,1,178,150,12,136,70,1,66,75,16,67,72,9,71,71,5,61,12,19,17,2,3,1,0,0,1
100,122,111,107,226,84,196,472,0,391,338,20,286,155,3,141,159,32,145,153,15,156,134,18,136,29,38,29,5,5,2,1,0,0
3037,3439,3759,3712,8640,1741,7425,12336,20,11336,9014,367,8250,4672,165,4642,4851,1007,4516,3867,493,3753,2590,620,2794,569,309,601,1197,1275,168,162,39,31
69,101,79,83,181,64,145,354,1,289,247,14,222,113,0,101,114,28,109,117,13,115,110,11,95,20,26,20,6,3,1,0,0,1
1717,1716,2736,1889,5069,639,3532,4463,4,3980,3025,123,2751,1546,53,1711,1656,362,1934,1506,158,1771,901,177,1087,933,18,507,269,709,65,110,9,20
36,42,33,40,77,25,65,156,0,130,121,7,98,51,0,45,56,10,47,46,7,46,48,3,47,12,13,8,2,1,0,0,0,0
100,112,96,98,208,63,174,433,0,345,303,21,253,136,4,121,146,28,130,138,17,134,131,13,114,23,29,24,5,5,1,1,1,0
35,48,40,38,92,30,68,172,1,143,120,7,114,59,0,48,56,11,54,61,5,55,54,9,51,10,14,12,2,2,1,0,0,1
2481,2943,3396,3372,7913,1631,6627,12418,18,11783,7171,344,6362,3690,131,3707,3976,869,3684,3199,514,3125,2550,522,2670,617,381,574,1367,1341,200,190,48,44
2649,3068,3462,3519,7873,1814,7113,10841,19,11166,8310,397,8011,4357,163,4496,4670,1117,4447,3672,548,3579,2570,599,2826,596,405,549,1034,1198,169,199,36,34
2178,2354,2858,2759,6239,1509,5389,9244,16,8984,7436,296,6727,3768,116,3729,3945,978,3748,2941,448,2997,2269,493,2360,478,309,439,1187,1227,184,173,30,35
2246,2430,2907,2848,6584,1219,5730,10442,17,10283,7625,350,6811,3891,170,3898,4217,875,3876,3410,452,3367,2834,603,3020,524,325,515,1025,1089,138,158,31,33
2352,2690,2993,2892,6771,1276,5693,9765,15,9402,7010,319,6851,3579,139,3559,3944,862,3413,3086,448,2759,2129,505,2255,485,273,534,984,1019,148,138,28,29
2555,3145,3400,3372,8011,1669,7228,12165,16,12256,7945,344,7835,4127,137,4140,4488,831,3952,3438,467,3178,2639,573,2785,583,266,591,1174,1217,157,169,33,35
1519,1588,2317,1898,4432,687,3387,4790,5,3857,3269,140,3023,1604,64,1793,1706,436,1916,1630,200,1730,1019,188,1152,792,35,540,302,761,85,125,17,20
3567,4177,4547,4474,10368,1942,8742,14151,22,13152,9538,406,9026,4842,162,4887,5292,1352,4960,4693,666,4500,3739,742,3771,699,409,714,1636,1695,239,257,39,52
2789,3216,3760,3446,8317,1929,6523,11224,14,11321,8771,375,8025,3949,147,4245,4075,905,3926,3348,426,3261,3189,621,3131,556,429,443,1557,1641,175,214,40,47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,95,78,78,179,65,149,360,2,293,250,12,212,119,3,104,113,23,108,117,15,120,109,13,97,23,28,20,5,3,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,67,48,50,110,43,93,243,1,188,155,9,143,76,1,69,78,15,68,74,6,77,72,6,56,14,20,16,4,2,2,0,0,1
