2656,3010,3542,3263,7901,1759,6579,11586,15,11157,8778,382,8802,4402,161,4768,4523,925,4577,3587,490,3735,2704,600,2964,563,394,489,1212,1338,176,188,26,43
2752,2991,3701,3622,7827,1582,7052,11567,10,11343,9099,307,8576,4452,149,4664,4694,937,4438,3706,462,3526,2711,538,2752,600,347,611,1340,1461,188,212,35,38
2368,2638,3050,2959,6658,1455,5672,10486,13,9499,7967,329,7750,4025,115,3748,4236,747,3668,3241,399,3022,2485,444,2551,496,315,523,1127,1160,158,164,28,30
3386,3684,4409,4146,9456,1932,8369,13473,19,13562,10384,439,9491,5244,198,5263,5486,1238,5040,4563,590,4252,3436,789,3551,634,402,606,1307,1545,181,215,28,43
3135,3587,3896,3742,9120,2039,7624,13561,14,12796,9042,373,8784,4883,192,4808,5286,974,4758,4130,535,3831,2904,652,3057,596,353,581,1326,1453,189,208,37,34
2919,3154,3929,3619,8365,1716,6962,11934,12,11566,8251,345,7353,4106,171,3959,4469,979,3934,3639,509,3496,2727,563,2814,543,347,584,1450,1545,201,212,44,45
3083,3498,4223,4002,9186,1692,7986,12186,13,12141,8522,359,8059,4210,154,4433,4347,977,4156,3858,518,3675,3049,642,3241,616,343,643,1287,1475,187,177,42,30
3578,4073,4858,4573,10976,2147,9301,14676,20,14904,10295,444,9444,5024,207,5139,5370,1217,4976,4702,594,4560,3745,767,3709,729,422,717,1574,1777,226,228,35,46
2737,3194,3684,3649,8399,1783,7458,12452,18,12098,8901,388,8297,4459,178,4441,4618,1086,4470,3853,533,3922,2979,668,3221,602,372,611,1519,1787,214,235,41,45
2600,3059,3487,3499,8051,1619,6912,11210,15,10656,8092,374,7631,4096,136,4145,4346,884,3895,3521,469,3485,2787,569,2962,617,343,605,1304,1412,185,210,44,37
3144,3554,4011,3954,8978,1774,8074,13431,17,12880,9709,413,9136,4849,171,5020,5091,1127,4719,3934,530,3748,2765,601,2859,696,351,703,1307,1431,208,192,39,34
3818,4326,5254,4929,11355,2172,10115,16315,23,15808,11467,472,10453,5844,212,5897,6061,1281,5750,4937,644,4964,3609,804,4083,853,333,892,1721,1880,232,302,55,41
3092,3498,4092,4044,9268,1879,8490,13973,24,13934,10261,400,9302,5266,168,4963,5410,1045,4812,4390,582,4255,3062,664,3538,654,316,756,1287,1502,188,225,43,42
2859,3538,4135,4030,9500,1936,8279,13528,16,12757,10439,417,9201,5172,172,5031,5390,1147,4859,4375,645,4194,3490,802,3654,706,389,676,1438,1545,200,210,33,47
3042,3403,4167,3951,9150,1780,8143,12460,21,11873,8845,386,7878,4667,168,4561,4822,1092,4288,3940,548,3582,2648,637,2795,607,348,580,1247,1405,202,224,48,39
3581,4118,5066,4889,11488,2243,9470,15982,21,15279,10915,504,10037,5630,204,5619,5994,1363,5591,4695,686,4566,3591,751,3703,767,511,680,1620,1795,221,255,42,41
4218,4500,5811,5179,12241,2358,10384,16982,20,17882,12588,464,11976,6474,207,6617,6881,1242,6276,5485,640,5399,4231,840,4465,832,548,816,1481,1594,192,174,43,35
3086,3578,4269,4099,10018,2002,8277,13573,21,13399,9506,438,9451,5011,183,4990,5262,1172,4578,4498,595,4236,2877,679,3380,755,301,670,1415,1515,204,197,42,33
3812,4361,4956,4840,11260,2330,9296,15856,41,14601,11813,560,10561,5877,189,5874,6149,1357,5767,5319,702,4954,3887,896,4200,804,472,738,1761,1867,268,258,47,57
3954,4608,5501,5009,11728,2253,9698,14926,17,15601,12298,497,10485,6258,208,5971,6366,1412,5632,5171,708,4853,3665,755,3969,795,367,754,1569,1670,200,235,40,34
3252,3829,4495,4324,10097,1943,8520,14825,20,13917,10115,396,8856,4999,185,4828,5307,1175,4893,4555,568,4555,3456,701,3622,666,359,655,1737,1966,260,290,50,43
2953,3593,4089,4193,9069,1793,8157,13863,20,12843,9252,423,8752,4603,199,4615,4961,1053,4609,4089,527,4007,3266,672,3347,656,371,659,1476,1578,228,238,43,39
3105,3602,3885,3819,8578,1858,7549,14092,24,13037,9506,425,8792,4905,162,4716,4914,1037,4304,4242,559,4103,3220,724,3343,676,319,624,1218,1392,204,195,42,21
5120,5924,7488,7169,16343,3287,14646,22666,29,22862,17887,732,16398,8573,315,9023,9140,1748,8506,7100,909,6935,5369,1098,5759,1172,720,1124,2401,2647,344,319,67,63
5307,5884,6941,6700,14966,2934,12842,21498,32,20972,15679,633,14153,7565,295,7746,8084,1738,7219,6841,951,6209,4782,1066,4750,1061,543,984,2179,2337,300,337,67,64
4523,5382,6065,6097,13930,2770,12153,20338,36,19345,15124,602,13846,7785,251,7271,8197,1675,7047,6607,915,6025,4778,1027,5189,1054,473,990,2197,2365,320,335,51,67
4512,5292,6240,6196,13934,2798,12360,19637,22,18977,13617,632,12283,6967,258,6640,7232,1715,6237,6014,874,5628,4434,988,5372,1042,510,1070,2290,2579,321,319,73,62
5098,5837,6996,6638,13702,2980,12019,19347,21,18783,15899,646,12567,7501,253,6743,7674,2014,6832,6251,958,6096,5106,992,5504,1069,856,951,2759,2920,401,389,74,75
4914,5765,6603,6361,13409,2958,11981,23223,44,20685,16477,673,14717,7742,253,7603,8033,1536,7341,6424,845,6410,5513,1055,5899,1066,784,1033,3028,3378,407,411,76,78
4944,5307,6476,5912,14184,2846,11251,20157,16,20144,14321,502,14238,7187,249,7497,7886,1533,7290,6249,764,6153,4715,1021,4928,952,563,884,2088,2088,276,282,60,64
4916,5895,6906,6744,15264,3142,13423,20482,28,20110,17871,678,15396,8229,266,7863,8404,1775,7520,6427,914,6280,5079,1083,5563,1001,699,1022,2834,3179,366,392,74,69
3657,4295,4894,4844,10390,2062,9411,14996,20,15263,12505,488,10971,6248,222,6388,6685,1367,6162,5195,673,4968,4039,828,4146,787,594,778,1502,1631,205,229,40,41
3599,3956,4828,4653,10505,2277,8768,14965,38,14143,10203,495,10070,5170,185,5281,5422,1192,4932,4549,565,4240,2907,634,3261,744,359,730,1665,1834,274,263,44,47
2956,3329,4077,3936,9105,1932,7816,12262,12,12321,8695,390,8000,4430,179,4608,4639,1069,4576,3864,501,3919,3126,665,3240,580,370,582,1426,1434,187,206,41,31
3482,4072,4768,4668,10517,2317,8787,16224,28,16250,11083,502,10001,5539,187,5379,5881,1323,5209,5051,688,4592,4198,874,4080,802,449,830,1869,1968,262,271,50,58
3139,3719,4540,4418,10182,2216,8650,14346,23,13772,10074,448,9140,4873,197,5029,5237,1269,4768,4247,608,4190,3621,755,3623,621,534,662,1679,1814,233,262,40,49
