File,Volume1,Volume2,Volume3
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0102_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.971935e-01,4.766675e-01,3.928036e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0104_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.829156e-01,4.492827e-01,2.064187e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0107_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.394637e-01,4.617087e-01,2.445861e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0108_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.540764e-01,4.091188e-01,3.124016e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0110_ses-1_run-1_desc-preproc_T1w_seg8.mat',8.736337e-01,3.614914e-01,4.578221e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0113_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.706954e-01,3.050075e-01,3.322902e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0117_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.774299e-01,4.069079e-01,2.638214e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0119_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.408236e-01,4.203855e-01,3.681032e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0121_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.404771e-01,4.355166e-01,2.521941e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0122_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.534759e-01,3.215590e-01,4.018449e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0124_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.131624e-01,4.078322e-01,2.997052e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0128_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.931571e-01,4.494568e-01,3.782557e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0130_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.202425e-01,4.294569e-01,2.964855e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0134_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.441931e-01,3.253169e-01,5.750089e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0139_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.794649e-01,3.930436e-01,4.215099e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0140_ses-1_run-1_desc-preproc_T1w_seg8.mat',8.764418e-01,3.583818e-01,4.871241e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0141_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.183274e-01,4.630014e-01,4.825911e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0142_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.542083e-01,3.011018e-01,5.086607e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0143_ses-1_run-1_desc-preproc_T1w_seg8.mat',5.773632e-01,4.477924e-01,4.750276e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0145_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.973016e-01,2.392031e-01,3.126180e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0146_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.789524e-01,3.702919e-01,4.660646e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0147_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.993860e-01,3.668317e-01,2.996907e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-0178_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.631076e-01,2.510943e-01,4.785808e-01
