rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV	rh_temporalpole_area
sub-0039	747.0	2258.0	2015.0	340.0	2513.0	4364.0	3155.0	829.0	4899.0	2995.0	3824.0	1496.0	3471.0	768.0	1693.0	1866.0	667.0	1618.0	1455.0	4679.0	1400.0	4450.0	3831.0	1022.0	4014.0	7978.0	4113.0	4404.0	3699.0	328.0	1999.0	82890.3	1067973.0	1442462.66838	0.0
sub-0041	1063.0	2492.0	2362.0	319.0	3081.0	5194.0	3801.0	1046.0	5477.0	3028.0	3886.0	1567.0	4511.0	681.0	1539.0	1791.0	807.0	1919.0	2277.0	3161.0	1341.0	4220.0	4494.0	958.0	6269.0	10925.0	3353.0	4368.0	2535.0	311.0	2024.0	90800.2	1117012.0	1513870.08802	0.0
sub-0042	895.0	2616.0	2395.0	404.0	2714.0	6018.0	3837.0	1191.0	5438.0	3087.0	3927.0	1412.0	4777.0	649.0	1652.0	1607.0	690.0	1755.0	1993.0	4318.0	1436.0	4734.0	4796.0	776.0	4115.0	9210.0	4525.0	4417.0	3649.0	304.0	2115.0	91452.5	1139605.0	1546304.60749	0.0
sub-0043	1137.0	3014.0	2291.0	317.0	2531.0	5391.0	3489.0	928.0	5065.0	2789.0	3861.0	1201.0	4393.0	639.0	1829.0	1514.0	706.0	1382.0	1853.0	4470.0	1540.0	5044.0	4186.0	997.0	4024.0	9493.0	4574.0	4199.0	3077.0	275.0	2162.0	88371.0	1093126.0	1488425.96978	0.0
sub-0044	764.0	1269.0	1455.0	375.0	2875.0	6398.0	4298.0	975.0	4680.0	2976.0	3098.0	1356.0	5044.0	594.0	1454.0	1619.0	907.0	2058.0	1171.0	4244.0	1405.0	4094.0	3571.0	755.0	4748.0	9498.0	4440.0	4611.0	3346.0	337.0	2204.0	86617.4	1141797.0	1570025.48511	0.0
sub-0053	1197.0	2368.0	1741.0	355.0	2574.0	4845.0	3384.0	766.0	5441.0	2866.0	2349.0	1536.0	4060.0	625.0	1605.0	1535.0	606.0	1430.0	1184.0	4258.0	1345.0	5156.0	3839.0	1029.0	3692.0	8714.0	4143.0	4787.0	3409.0	303.0	2093.0	83237.0	1047785.0	1563927.20032	0.0
sub-0057	814.0	2608.0	1740.0	318.0	3001.0	4431.0	2988.0	1045.0	4938.0	3118.0	3084.0	1577.0	3915.0	705.0	1649.0	1663.0	737.0	1462.0	1410.0	4517.0	1240.0	5254.0	4189.0	676.0	3900.0	8804.0	4340.0	4489.0	3441.0	343.0	2255.0	84653.1	916095.0	1545364.52291	0.0
sub-0058	766.0	2268.0	1975.0	348.0	2629.0	5508.0	3204.0	1036.0	5376.0	2958.0	3575.0	1472.0	4414.0	793.0	1517.0	1450.0	632.0	1331.0	1715.0	4034.0	1341.0	4536.0	3467.0	806.0	3507.0	8985.0	3966.0	4286.0	2703.0	299.0	1914.0	82809.3	1030574.0	1393762.8743	0.0
sub-0060	612.0	1679.0	2005.0	297.0	2414.0	4638.0	3384.0	643.0	4604.0	3074.0	2921.0	1314.0	3974.0	615.0	1597.0	1325.0	623.0	1358.0	1330.0	4245.0	1047.0	4046.0	3979.0	795.0	3986.0	7831.0	3880.0	4456.0	3534.0	295.0	1878.0	78378.4	977133.0	1205966.67051	0.0
sub-0062	892.0	2430.0	2309.0	450.0	2871.0	6861.0	4641.0	1015.0	5787.0	3316.0	3813.0	1791.0	4464.0	781.0	1690.0	2030.0	761.0	1995.0	1919.0	4641.0	1431.0	4983.0	4069.0	941.0	5937.0	11371.0	4570.0	4919.0	3270.0	267.0	2615.0	98827.6	1289435.0	1776265.02628	0.0
