rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV	rh_temporalpole_area
sub-0064	2319.0	2380.0	1927.0	301.0	2912.0	5728.0	3670.0	691.0	4754.0	3131.0	2836.0	2063.0	4207.0	749.0	4081.0	1261.0	667.0	1326.0	1429.0	4874.0	2219.0	5228.0	4594.0	1098.0	4481.0	15172.0	4301.0	5154.0	3600.0	299.0	2204.0	99655.5	1198044.0	3132919.29087	0.0
sub-0066	1088.0	2358.0	2048.0	443.0	2660.0	4744.0	3818.0	921.0	4576.0	3499.0	2752.0	1557.0	4181.0	627.0	1516.0	1859.0	752.0	1711.0	1467.0	4344.0	1782.0	4558.0	4990.0	760.0	3731.0	8905.0	4677.0	4576.0	3328.0	333.0	1956.0	86518.9	1084847.0	1462947.37819	0.0
sub-0067	653.0	2051.0	1988.0	540.0	2618.0	4678.0	3500.0	792.0	5223.0	3027.0	2960.0	1399.0	4007.0	714.0	1371.0	1502.0	714.0	1684.0	1595.0	4388.0	1051.0	4758.0	4018.0	747.0	3277.0	7919.0	4284.0	4447.0	3137.0	313.0	1994.0	81349.5	1040745.0	1385606.54043	0.0
sub-0071	878.0	1921.0	1495.0	376.0	2766.0	5170.0	3731.0	912.0	4425.0	2764.0	3143.0	1294.0	3825.0	690.0	1495.0	1476.0	727.0	1178.0	1173.0	3867.0	1199.0	4234.0	3661.0	791.0	3709.0	7855.0	3717.0	4353.0	2706.0	282.0	1827.0	77639.7	1009957.0	1378600.06314	0.0
sub-0072	790.0	2339.0	1832.0	360.0	2615.0	5198.0	3865.0	861.0	5019.0	3337.0	3250.0	1606.0	4527.0	621.0	1469.0	1616.0	755.0	1496.0	1464.0	4593.0	1041.0	4868.0	4154.0	870.0	4244.0	7969.0	4187.0	4489.0	3072.0	261.0	2200.0	84968.9	1131610.0	1525486.91608	0.0
sub-0073	549.0	2080.0	572.0	250.0	624.0	2049.0	849.0	2049.0	1267.0	2142.0	718.0	475.0	1320.0	403.0	778.0	1420.0	449.0	1297.0	366.0	3072.0	973.0	3324.0	2286.0	9.0	3773.0	3017.0	2999.0	3664.0	2407.0	376.0	2230.0	47812.0	428721.0	104144.590512	24.0
sub-0077	1085.0	1900.0	2312.0	427.0	3559.0	5988.0	4125.0	1164.0	6448.0	3150.0	3788.0	1530.0	4202.0	595.0	1769.0	1666.0	925.0	2050.0	1970.0	4424.0	1637.0	5128.0	4231.0	899.0	4017.0	9921.0	4483.0	5061.0	3887.0	319.0	2275.0	94935.2	1243118.0	1638396.83303	0.0
sub-0078	987.0	2136.0	2227.0	463.0	3150.0	5436.0	3481.0	924.0	4995.0	3245.0	3094.0	1583.0	4068.0	639.0	1680.0	1537.0	698.0	1511.0	1324.0	4392.0	1365.0	5350.0	4659.0	979.0	3881.0	9873.0	5012.0	5191.0	4644.0	342.0	2282.0	91152.5	1164610.0	1591966.66264	0.0
sub-0079	1164.0	2877.0	2309.0	314.0	2559.0	5428.0	3544.0	940.0	5179.0	2822.0	3852.0	1373.0	4350.0	685.0	1813.0	1487.0	749.0	1398.0	1830.0	4470.0	1525.0	5028.0	4151.0	993.0	4191.0	9411.0	4595.0	4275.0	3060.0	264.0	2213.0	88849.2	1096560.0	1488425.96978	0.0
sub-0080	951.0	2551.0	1754.0	353.0	2714.0	5341.0	3386.0	1071.0	5448.0	3397.0	3008.0	1677.0	4010.0	660.0	1678.0	1305.0	782.0	1260.0	1144.0	4571.0	1413.0	5341.0	4291.0	856.0	4080.0	10407.0	5169.0	4110.0	3014.0	266.0	1941.0	87948.2	1191370.0	1613504.469	0.0
sub-0082	812.0	3173.0	1794.0	427.0	2760.0	5571.0	4221.0	1001.0	5294.0	3605.0	3295.0	1606.0	4478.0	715.0	1872.0	2136.0	772.0	1919.0	1280.0	4692.0	1580.0	5176.0	4131.0	1136.0	4691.0	10670.0	4751.0	4660.0	3303.0	344.0	2372.0	94237.9	1193592.0	1649751.03428	0.0
sub-0085	703.0	1509.0	1922.0	617.0	3074.0	4959.0	3851.0	818.0	4579.0	2735.0	2832.0	1536.0	3979.0	760.0	1761.0	1413.0	644.0	1443.0	1514.0	4386.0	1186.0	4293.0	3882.0	616.0	4033.0	8636.0	4146.0	4585.0	3617.0	389.0	2226.0	82646.3	1054724.0	1480778.17696	0.0
sub-0100	913.0	2290.0	1763.0	363.0	3296.0	5195.0	3594.0	903.0	5476.0	2791.0	2898.0	1542.0	4292.0	653.0	1544.0	1570.0	772.0	1577.0	1399.0	4963.0	1392.0	4609.0	4272.0	704.0	4528.0	8999.0	4499.0	4830.0	3721.0	321.0	2061.0	87729.5	1148366.0	1570498.95767	0.0
sub-0102	769.0	2077.0	2147.0	571.0	3383.0	5628.0	3991.0	908.0	6725.0	3493.0	3495.0	1624.0	4523.0	685.0	1939.0	2054.0	730.0	1908.0	1686.0	5233.0	1483.0	5153.0	4814.0	925.0	5491.0	10258.0	4732.0	5298.0	3815.0	292.0	2277.0	98108.5	1256669.0	1734647.16464	0.0
sub-0104	924.0	2584.0	2063.0	488.0	3309.0	5917.0	4016.0	1077.0	5462.0	3474.0	3011.0	1564.0	5295.0	797.0	1964.0	1422.0	761.0	1507.0	1458.0	4726.0	1451.0	4654.0	4884.0	1108.0	4130.0	9947.0	4793.0	5521.0	3908.0	346.0	2331.0	94888.1	1202410.0	1588832.71461	0.0
sub-0107	842.0	2600.0	2536.0	414.0	2788.0	4918.0	3921.0	1252.0	5454.0	3012.0	3699.0	1619.0	3571.0	773.0	1523.0	1555.0	648.0	1385.0	1940.0	4382.0	1325.0	4733.0	4617.0	1009.0	4319.0	10105.0	4700.0	4344.0	3915.0	289.0	1991.0	90177.0	1154737.0	1547836.86751	0.0
sub-0108	954.0	2460.0	1922.0	382.0	2604.0	5643.0	4288.0	954.0	6040.0	3362.0	3332.0	1763.0	4202.0	594.0	1750.0	1747.0	735.0	1427.0	1596.0	4617.0	1438.0	5671.0	4105.0	933.0	4142.0	9561.0	5266.0	4849.0	3328.0	315.0	2097.0	92080.2	1129989.0	1601099.67064	0.0
sub-0110	995.0	2530.0	1996.0	609.0	3114.0	6496.0	4517.0	1520.0	6685.0	3534.0	4328.0	1821.0	5623.0	830.0	1674.0	1563.0	840.0	1981.0	1957.0	5359.0	1493.0	5550.0	5066.0	1050.0	5428.0	11717.0	4901.0	5100.0	4126.0	414.0	2644.0	105461.0	1299190.0	1848937.15163	0.0
sub-0113	701.0	1922.0	1644.0	316.0	2489.0	3833.0	3232.0	874.0	4858.0	2483.0	2720.0	1303.0	3308.0	659.0	1509.0	1238.0	599.0	1344.0	1360.0	4142.0	1088.0	4617.0	3074.0	698.0	3901.0	8036.0	3518.0	4033.0	2779.0	294.0	1935.0	74508.3	917912.0	1401103.92939	0.0
sub-0117	698.0	2168.0	1903.0	446.0	2463.0	5556.0	3047.0	1025.0	4751.0	3185.0	3453.0	1626.0	3804.0	601.0	1765.0	1531.0	671.0	1604.0	2049.0	4840.0	1104.0	4722.0	4107.0	798.0	4010.0	8869.0	4484.0	4347.0	3215.0	277.0	2000.0	85118.1	1046908.0	1439661.79245	0.0
sub-0121	768.0	2306.0	2126.0	417.0	2478.0	4584.0	3376.0	817.0	4714.0	2967.0	2973.0	1723.0	3644.0	642.0	1671.0	1698.0	600.0	1360.0	1818.0	4815.0	1282.0	4570.0	4354.0	848.0	3810.0	9343.0	5130.0	4198.0	3483.0	263.0	1904.0	84682.9	1045027.0	1405787.88543	0.0
sub-0124	816.0	1904.0	1463.0	345.0	2481.0	4897.0	3003.0	854.0	4857.0	2738.0	3127.0	1365.0	4013.0	714.0	1295.0	1264.0	613.0	1209.0	1256.0	3962.0	1262.0	4402.0	3215.0	687.0	4086.0	7600.0	3341.0	4377.0	2583.0	244.0	1628.0	75596.2	997073.0	1367328.18002	0.0
sub-0128	821.0	2030.0	2151.0	289.0	2412.0	5509.0	3556.0	994.0	5391.0	2813.0	3315.0	1473.0	4153.0	654.0	1589.0	1578.0	764.0	1402.0	1810.0	4794.0	1288.0	5530.0	4194.0	893.0	3934.0	10411.0	4241.0	4777.0	3639.0	299.0	2334.0	89038.5	1142571.0	1649933.42236	0.0
sub-0130	927.0	2151.0	1959.0	317.0	2799.0	5659.0	3587.0	862.0	4874.0	3269.0	2780.0	1673.0	4328.0	584.0	1865.0	1501.0	638.0	1437.0	1731.0	5405.0	1206.0	5029.0	4703.0	1017.0	4211.0	9024.0	4918.0	4669.0	3469.0	300.0	2026.0	88917.5	1109147.0	1577833.33762	0.0
