rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV	rh_temporalpole_volume
sub-0100	2515.0	6742.0	3922.0	1834.0	11560.0	15104.0	13280.0	2744.0	14680.0	9758.0	6628.0	5314.0	14743.0	2258.0	3820.0	4849.0	2938.0	4733.0	2551.0	11380.0	3399.0	12925.0	10748.0	2452.0	13951.0	29806.0	10159.0	17862.0	10005.0	931.0	6870.0	1148366.0	1570498.95767	0.0
sub-0102	1678.0	5828.0	4170.0	2716.0	10200.0	13807.0	12363.0	2420.0	17263.0	10236.0	7853.0	5319.0	14376.0	2609.0	4814.0	5731.0	2408.0	5241.0	2727.0	11598.0	3688.0	14503.0	11405.0	3119.0	15244.0	29221.0	10794.0	17088.0	9542.0	904.0	7216.0	1256669.0	1734647.16464	0.0
sub-0104	2411.0	6351.0	4446.0	2264.0	10431.0	15741.0	12659.0	2764.0	13060.0	9320.0	6569.0	4657.0	16591.0	2539.0	5065.0	3815.0	2077.0	3763.0	2446.0	10837.0	3835.0	12569.0	12708.0	3224.0	10321.0	26837.0	10919.0	17212.0	10790.0	1095.0	7424.0	1202410.0	1588832.71461	0.0
sub-0107	2031.0	6813.0	5555.0	1720.0	7919.0	12699.0	11904.0	3039.0	12563.0	7442.0	7257.0	4042.0	10166.0	2517.0	3769.0	3629.0	1971.0	3188.0	2921.0	9744.0	3214.0	12008.0	11020.0	2554.0	9869.0	26101.0	10835.0	13712.0	10155.0	870.0	5766.0	1154737.0	1547836.86751	0.0
sub-0108	2583.0	6561.0	3564.0	1726.0	8491.0	14432.0	14001.0	2428.0	14365.0	9369.0	6513.0	4806.0	13279.0	1896.0	3711.0	4481.0	2155.0	4060.0	2311.0	10510.0	3453.0	14436.0	9702.0	2940.0	11204.0	27302.0	11295.0	15148.0	8564.0	968.0	6313.0	1129989.0	1601099.67064	0.0
sub-0110	2332.0	5387.0	4228.0	2630.0	9330.0	16880.0	14862.0	3372.0	16370.0	10670.0	8517.0	5627.0	17044.0	2345.0	4142.0	4110.0	2649.0	4994.0	2933.0	12478.0	3904.0	12837.0	13887.0	2815.0	13939.0	31352.0	12671.0	15055.0	9242.0	714.0	7396.0	1299190.0	1848937.15163	0.0
sub-0113	1454.0	5461.0	4300.0	1547.0	7522.0	11396.0	11221.0	2202.0	14263.0	7785.0	6093.0	3827.0	11323.0	2352.0	3985.0	2835.0	1822.0	3499.0	2613.0	9695.0	2847.0	12139.0	8508.0	2069.0	10759.0	23574.0	9232.0	13656.0	7676.0	840.0	5789.0	917912.0	1401103.92939	0.0
sub-0117	1578.0	5451.0	3397.0	1757.0	6820.0	15254.0	9597.0	2495.0	12192.0	8647.0	6610.0	4902.0	11219.0	1838.0	4542.0	3853.0	1936.0	4192.0	2798.0	10033.0	2749.0	12659.0	9800.0	2362.0	10903.0	23907.0	10048.0	13400.0	8043.0	704.0	5626.0	1046908.0	1439661.79245	0.0
sub-0121	2014.0	6113.0	4751.0	1942.0	6995.0	12340.0	10410.0	2184.0	13202.0	7740.0	6657.0	5013.0	10953.0	2306.0	4064.0	4102.0	1711.0	3444.0	2975.0	10509.0	3158.0	12188.0	10469.0	2225.0	9466.0	25012.0	11823.0	12534.0	8903.0	864.0	5025.0	1045027.0	1405787.88543	0.0
sub-0124	2305.0	4962.0	3016.0	1630.0	7196.0	12520.0	10266.0	1883.0	12098.0	8432.0	6833.0	4539.0	12354.0	2298.0	3475.0	3638.0	2020.0	3196.0	1883.0	8877.0	3085.0	11930.0	7634.0	2103.0	10846.0	21596.0	7409.0	14228.0	6321.0	648.0	4807.0	997073.0	1367328.18002	0.0
sub-0128	2190.0	5517.0	4427.0	1417.0	7856.0	15221.0	12846.0	2086.0	12886.0	7766.0	7197.0	4471.0	13638.0	1805.0	4087.0	4310.0	2301.0	3566.0	3494.0	10317.0	3329.0	14535.0	10240.0	2956.0	10642.0	30561.0	9848.0	14948.0	9085.0	842.0	6895.0	1142571.0	1649933.42236	0.0
sub-0130	2512.0	5592.0	3674.0	1637.0	8698.0	14379.0	12500.0	2189.0	12914.0	8842.0	5941.0	5007.0	13866.0	1946.0	4583.0	3632.0	1929.0	3736.0	2984.0	10955.0	3234.0	13105.0	11119.0	3182.0	11184.0	24929.0	10793.0	15297.0	8911.0	848.0	5847.0	1109147.0	1577833.33762	0.0
